GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Below 100 percent of the poverty level,Margin of Error; Total: - Below 100 percent of the poverty level,Estimate; Total: - 100 to 149 percent of the poverty level,Margin of Error; Total: - 100 to 149 percent of the poverty level,Estimate; Total: - At or above 150 percent of the poverty level,Margin of Error; Total: - At or above 150 percent of the poverty level,Estimate; Total: - Born in state of residence:,Margin of Error; Total: - Born in state of residence:,Estimate; Total: - Born in state of residence: - Below 100 percent of the poverty level,Margin of Error; Total: - Born in state of residence: - Below 100 percent of the poverty level,Estimate; Total: - Born in state of residence: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Born in state of residence: - 100 to 149 percent of the poverty level,Estimate; Total: - Born in state of residence: - At or above 150 percent of the poverty level,Margin of Error; Total: - Born in state of residence: - At or above 150 percent of the poverty level,Estimate; Total: - Born in other state in the United States:,Margin of Error; Total: - Born in other state in the United States:,Estimate; Total: - Born in other state in the United States: - Below 100 percent of the poverty level,Margin of Error; Total: - Born in other state in the United States: - Below 100 percent of the poverty level,Estimate; Total: - Born in other state in the United States: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Born in other state in the United States: - 100 to 149 percent of the poverty level,Estimate; Total: - Born in other state in the United States: - At or above 150 percent of the poverty level,Margin of Error; Total: - Born in other state in the United States: - At or above 150 percent of the poverty level,Estimate; Total: - Native; born outside the United States:,Margin of Error; Total: - Native; born outside the United States:,Estimate; Total: - Native; born outside the United States: - Below 100 percent of the poverty level,Margin of Error; Total: - Native; born outside the United States: - Below 100 percent of the poverty level,Estimate; Total: - Native; born outside the United States: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Native; born outside the United States: - 100 to 149 percent of the poverty level,Estimate; Total: - Native; born outside the United States: - At or above 150 percent of the poverty level,Margin of Error; Total: - Native; born outside the United States: - At or above 150 percent of the poverty level,Estimate; Total: - Foreign born:,Margin of Error; Total: - Foreign born:,Estimate; Total: - Foreign born: - Below 100 percent of the poverty level,Margin of Error; Total: - Foreign born: - Below 100 percent of the poverty level,Estimate; Total: - Foreign born: - 100 to 149 percent of the poverty level,Margin of Error; Total: - Foreign born: - 100 to 149 percent of the poverty level,Estimate; Total: - Foreign born: - At or above 150 percent of the poverty level,Margin of Error; Total: - Foreign born: - At or above 150 percent of the poverty level
1400000US42101000100,42101000100,"Census Tract 1, Philadelphia County, Pennsylvania",3608,389,434,146,91,74,3083,399,1449,278,152,103,64,71,1233,259,1577,256,208,95,27,22,1342,248,12,19,0,10,0,10,12,19,570,198,74,72,0,10,496,182
1400000US42101000200,42101000200,"Census Tract 2, Philadelphia County, Pennsylvania",2209,375,577,189,396,255,1236,205,731,216,101,59,121,84,509,179,647,209,228,151,10,15,409,131,43,41,9,13,13,23,21,33,788,246,239,101,252,181,297,147
1400000US42101000300,42101000300,"Census Tract 3, Philadelphia County, Pennsylvania",3228,295,313,114,246,133,2669,266,1196,255,143,82,71,46,982,237,1352,211,76,58,108,102,1168,222,121,59,5,8,0,10,116,59,559,127,89,53,67,70,403,121
1400000US42101000401,42101000401,"Census Tract 4.01, Philadelphia County, Pennsylvania",2836,240,795,193,181,99,1860,240,817,167,224,139,66,57,527,148,1241,263,198,114,67,45,976,226,29,30,7,15,0,10,22,27,749,191,366,123,48,66,335,115
1400000US42101000402,42101000402,"Census Tract 4.02, Philadelphia County, Pennsylvania",3049,284,302,173,240,139,2507,345,1671,336,166,130,160,117,1345,327,906,224,66,65,56,52,784,215,0,10,0,10,0,10,0,10,472,151,70,87,24,41,378,128
1400000US42101000500,42101000500,"Census Tract 5, Philadelphia County, Pennsylvania",1356,148,575,148,108,48,673,113,434,136,246,140,11,11,177,49,630,112,313,97,62,32,255,69,30,21,6,8,4,7,20,18,262,74,10,12,31,30,221,68
1400000US42101000600,42101000600,"Census Tract 6, Philadelphia County, Pennsylvania",954,112,208,81,32,26,714,115,345,63,72,32,22,24,251,56,397,91,131,73,10,11,256,54,10,15,0,10,0,10,10,15,202,97,5,7,0,10,197,97
1400000US42101000700,42101000700,"Census Tract 7, Philadelphia County, Pennsylvania",3225,454,738,312,147,145,2340,317,945,231,158,92,42,40,745,219,1389,418,277,167,105,139,1007,251,0,10,0,10,0,10,0,10,891,308,303,259,0,10,588,145
1400000US42101000801,42101000801,"Census Tract 8.01, Philadelphia County, Pennsylvania",1692,230,285,138,135,151,1272,237,498,138,74,64,58,77,366,123,985,261,172,129,57,74,756,262,11,14,11,14,0,10,0,10,198,91,28,34,20,24,150,90
